id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
42515,https://www.airbnb.com/rooms/42515,20201229152854,2020-12-30,Geneva center - Hosting females,"<b>The space</b><br />This is a private room with own half bath ( sink & toilet)  to rent in a great 2 bedrooms apartment in Geneva center. The large bathroom with bathtub is shared.<br /><br />It is located only 5 minutes by walk to the lake, the old town and fashion boutiques.<br /><br />I am looking to host professional females, clean, no pets & no smoking.<br />We would share a spacious, quiet, fully furnished 2 bedroom flat, the kitchen and the living room.<br />There (email hidden), free WIFI, access to the washing machine and a dryer.<br /><br />The flat is perfectly situated in the heart of Geneva. There is excellent public transport links (tram 12 and various busses) :<br />- Cornavin train station : 12min<br />- United Organizations : 22min<br />- Geneva airport : 30min<br /><br />There are all the needed commodities around : Shops, supermarkets (Migros, Coop), bars, restaurants (especially nice in the old town).<br />I would be happy to provide you with additional informatio",,https://a0.muscache.com/pictures/10640277/ff1da5fd_original.jpg,185647,https://www.airbnb.com/users/show/185647,Noelle,2010-07-30,"Geneva, Geneva, Switzerland","Hi, I am a Management consultant professional, working with multinational and Big 4 firms as Program Manager / Strategy alignment efforts, and Project Management Office (PMO) manager.  I travel a lot for my work.
I love living in the center of the city, where there are loads of cultural events, parks,  the lake to enjoy and do biking, jogging, walking, skying, etc.  

It is also a pleasant experience to share and get to know another culture. ",within a few hours,100%,0%,t,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Commune de Genève,,46.2014,6.155069999999999,Private room in apartment,Private room,1,0.0,1.5 baths,1.0,1.0,"[""Cable TV"", ""Bathtub"", ""Kitchen"", ""TV"", ""Oven"", ""Keypad"", ""Stove"", ""Dedicated workspace"", ""Washer"", ""Iron"", ""Hot water"", ""Elevator"", ""Refrigerator"", ""Dishes and silverware"", ""Heating"", ""Wifi"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Cooking basics""]",$70.00,30,365,30,30,365,365,30.0,365.0,,t,28,58,88,363,2020-12-30,57,1,0,2011-09-24,2020-05-30,94.0,9.0,10.0,10.0,10.0,10.0,9.0,,f,1,0,1,0,0.51
44959,https://www.airbnb.com/rooms/44959,20201229152854,2020-12-30,Perfect Cozy Bedroom Close to Lake & Transport,"Perfect for the single traveler whether it be for work or pleasure! A cozy place to come home to in a great location where everything is easily accessible :)<br /><br /><b>The space</b><br />You will be staying in a cozy bedroom with a single bed, an armchair, and a desk (with lots of reading material :)).  <br /><br />You will have access to a fully equipped kitchen, bathroom, dining and living room (complete with 42"" TV and surround system in case Geneva weather gets the best of you and your plans :)) as well as free wifi.<br /><br />I can also provide a free (data only) SIM card which you may use during your stay (please ask for this when booking).<br /><br /><b>Guest access</b><br />You will have access to the kitchen, bathrooms, dining and living room.","The apartment is situated in the heart of Geneva and is a 15 minute walk from the lakeside (great for walking, sailing, water biking, getting wet under the famous Geneva fountain…), the main shopping district, the Old Town, several museums and parks. <br /> <br />There are also several amenities nearby such as bakeries for your morning (or afternoon, or evening ;)) coffee and pastries, supermarkets (even one that stays open late and is open on Sundays!), and several bars and restaurants to enjoy Geneva like a local.<br /><br />I will be available throughout your stay to give you information to navigate the city and find its hidden charms. My job is to make your stay the best possible so don't hesitate to ask!",https://a0.muscache.com/pictures/3340619/139f402a_original.jpg,198343,https://www.airbnb.com/users/show/198343,Rita,2010-08-11,"Geneva, Geneva, Switzerland","In Geneva by way of Istanbul, Santiago, Lagos, Kobe, Milan and Boston :)
Love to laugh, talk, eat, dance, make jewelry and do whatever as long as it's in good company :) ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/e5ab647a-d065-4bbe-9053-7d2dae8a8fd2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e5ab647a-d065-4bbe-9053-7d2dae8a8fd2.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Geneva, Switzerland",Commune de Genève,,46.19704,6.16076,Private room in apartment,Private room,1,0.0,1.5 shared baths,1.0,1.0,"[""Microwave"", ""Wine glasses"", ""Single level home"", ""Cable TV"", ""Long term stays allowed"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Baking sheet"", ""Nespresso machine"", ""Bathtub"", ""Kitchen"", ""TV"", ""Drying rack for clothing"", ""Coffee maker"", ""Bed linens"", ""Host greets you"", ""Oven"", ""Safe"", ""Stove"", ""Shower gel"", ""Dedicated workspace"", ""Shampoo"", ""Washer"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Iron"", ""Portable fans"", ""Hot water"", ""Body soap"", ""Elevator"", ""Extra pillows and blankets"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Dishes and silverware"", ""Paid parking off premises"", ""Heating"", ""Wifi"", ""Beach essentials"", ""Conditioner"", ""Dryer"", ""Cleaning products"", ""Hair dryer"", ""Dishwasher"", ""Hot water kettle"", ""Sound system"", ""Hangers"", ""Essentials"", ""Cooking basics""]",$90.00,1,90,1,1,90,90,1.0,90.0,,t,0,0,0,88,2020-12-30,49,3,0,2010-09-28,2020-04-03,97.0,10.0,10.0,10.0,10.0,9.0,9.0,,f,1,0,1,0,0.39
107438,https://www.airbnb.com/rooms/107438,20201229152854,2020-12-30,Room in an amazingflat linked to UN,"<b>The space</b><br />Version Française et Anglaise <br /> <br />It is a cosy furnished room with wifi connexion and cable TV in an amazing modern flat of 115m2 near to the centre of Geneva (15 min walking distance to the old city) and linked to UN area by bus Nr 8 and to University by bus nr 3. <br /> <br />Located near to a big public  parc, near to small food and beverages shops and restaurants in a quiet and poch residential area, the apartment has: <br />two bedrooms with a double bed (one of the bedrooms are mine and I will occupy it during your stay), one big living room, one dining room, a porch (with a convertible sofa for two persons), a big kitchen, a bathroom and one toilet. <br /> <br />A maid is coming once a week and everything needed (towels etc.) are provided. <br /> <br />Bus lines situated close by that reach the centre easily , also the United Nations organizations area, the train-station and the airport. For more buses informations please visit the geneva's buses w",,https://a0.muscache.com/pictures/2032232/48301a93_original.jpg,556499,https://www.airbnb.com/users/show/556499,F. M.,2011-05-04,"Geneva, Geneva, Switzerland",It is a cosy furnished room with wifi connexion and cable TV in an amazing modern flat of 115m2 near to the centre of Geneva ,within a day,100%,93%,f,https://a0.muscache.com/im/users/556499/profile_pic/1304521913/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/556499/profile_pic/1304521913/original.jpg?aki_policy=profile_x_medium,Passy,4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Commune de Genève,,46.19004,6.16014,Private room in apartment,Private room,1,0.0,1.5 shared baths,1.0,1.0,"[""Microwave"", ""Cable TV"", ""Long term stays allowed"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""TV"", ""Coffee maker"", ""Bed linens"", ""Host greets you"", ""Oven"", ""Patio or balcony"", ""Stove"", ""Dedicated workspace"", ""Washer"", ""Iron"", ""Hot water"", ""Elevator"", ""Private entrance"", ""Extra pillows and blankets"", ""Refrigerator"", ""Paid parking off premises"", ""Dishes and silverware"", ""Lock on bedroom door"", ""Heating"", ""Wifi"", ""Dryer"", ""Cleaning before checkout"", ""Dishwasher"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Cooking basics""]",$80.00,60,1125,60,60,1125,1125,60.0,1125.0,,t,0,27,57,332,2020-12-30,27,0,0,2011-05-15,2019-11-30,97.0,10.0,10.0,10.0,10.0,9.0,9.0,,f,2,1,1,0,0.23
194110,https://www.airbnb.com/rooms/194110,20201229152854,2020-12-30,Central apartment by the lake,"Design apartment conveniently located in the heart of Geneva.<br /><br /><b>The space</b><br />Design apartment fully furnished in the center of Geneva by the lake. One bedroom with all linen, living room with big plasma screen and sofa bed (140cm x 200cm), kitchen with appliances and wireless internet access. Walking distance from major attractions in Geneva: old town, best restaurants, monuments, main shopping avenue, etc... Apartment located in front of the famous Jet d'Eau. <br />Bathroom with bathtub and separate toilet.<br /><br /><b>Guest access</b><br />Guests can access the full apartment<br /><br /><b>Other things to note</b><br />We have compiled a FAQ with all you need to know about enjoying our apartment - plus enjoying the surrounding area and various restaurants of which there are diverse cuisines",,https://a0.muscache.com/pictures/1252014/0ee91f8b_original.jpg,942248,https://www.airbnb.com/users/show/942248,Virginia,2011-08-08,"Geneva, Geneva, Switzerland","Interior Designer based in Geneva, Switzerland.",within a few hours,100%,92%,t,https://a0.muscache.com/im/users/942248/profile_pic/1312844404/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/942248/profile_pic/1312844404/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,t,,Commune de Genève,,46.2042,6.16067,Entire apartment,Entire home/apt,4,0.0,1 bath,1.0,2.0,"[""Microwave"", ""Cable TV"", ""Long term stays allowed"", ""Bathtub"", ""Kitchen"", ""TV"", ""Coffee maker"", ""Bed linens"", ""Oven"", ""Stove"", ""Dedicated workspace"", ""Washer"", ""Lockbox"", ""Iron"", ""Hot water"", ""Elevator"", ""Extra pillows and blankets"", ""Refrigerator"", ""Dishes and silverware"", ""Heating"", ""Wifi"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Cooking basics""]",$135.00,14,1125,14,14,1125,1125,14.0,1125.0,,t,20,50,80,260,2020-12-30,72,4,1,2012-01-01,2020-12-01,90.0,9.0,9.0,9.0,9.0,10.0,9.0,,f,1,1,0,0,0.66
256797,https://www.airbnb.com/rooms/256797,20201229152854,2020-12-30,Charming apartment in city center,"<b>The space</b><br />My apartment is ideally located 5 minutes walk from the lake of Geneva and 5 minutes walk from the Park Lagrange (Whitewater), in a nice area right in the center of Geneva. <br /> <br />The flat has a large bedroom with kingsize bed, a large living room, a small kitchen and a bathroom, with a small entrance hall.  <br />It Is fully furnished and equipped with broadband, washing machine, dryer, dish washer, TV and stereo. <br /> <br />This place is perfect to accomodate up to 2 persons : for people on business trip or for couples on holidays. <br />Thanks to its ideal location, you will be able to easily reach the main train station, the airport, the UN, the nice Geneva old town. There is easy public transportation around. <br />It Is also close to shops, bars and restaurants. <br /> <br />I have lived in Geneva for 30 years and it will be my pleasure to introduce you to the city. <br />Welcome in Geneva !",,https://a0.muscache.com/pictures/2661715/ee3fb0b5_original.jpg,1350910,https://www.airbnb.com/users/show/1350910,Asif,2011-10-30,"Geneva, Geneva, Switzerland","Dear travelers! Welcome to Geneva and welcome to my place! I am delighted to introduce you to my beautiful city. I will make sure that your stay here is pleasant and comfortable, and that you get to see the most interesting places and events in town!",within a day,86%,44%,f,https://a0.muscache.com/im/users/1350910/profile_pic/1319988119/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1350910/profile_pic/1319988119/original.jpg?aki_policy=profile_x_medium,,0,0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Commune de Genève,,46.20216,6.16315,Entire apartment,Entire home/apt,2,0.0,1 bath,1.0,1.0,"[""Washer"", ""Dryer"", ""Elevator"", ""Kitchen"", ""Heating"", ""Wifi""]",$90.00,10,365,10,10,365,365,10.0,365.0,,t,17,47,77,352,2020-12-30,29,2,0,2011-11-21,2020-08-31,92.0,9.0,10.0,10.0,10.0,9.0,9.0,,f,1,1,0,0,0.26
276025,https://www.airbnb.com/rooms/276025,20201229152854,2020-12-30,Lovely flat by Geneva lake,"This cozy flat is located in a very pleasant village, nearby Geneva lake, and near all facilities, such as groceries, trains, bus stops, banks, etc. It's perfect for a family with 2-3 children. Geneva center is at only 10 minutes by car/by train.<br /><br /><b>The space</b><br />Completey renovated in June 2011, my lovely duplex apartment in Versoix (Geneva Canton) is composed of:  <br />1 bedroom with double bed in the mezzanine, 1 bathroom, 1 living-room with fireplace, a confortable bed-couch (for 1-2 people) in the living-room and a foldable bed (1 person), a fully-equiped kitchen (dish washer, big fridge with freezer, microwaves). <br />We also provide: TV, decoder, DVD reader, radio, baby-bed, baby bouncer, some toys, unlimited WIFI. <br />Blankets and towels are included in the price. Only extra: the final cleaning (30 chf). Washing machine and dryer are available (free of charge) on the ground floor of the building.<br />The flat offers a wonderful view on the lake Geneva and t",,https://a0.muscache.com/pictures/4156456/d3aed209_original.jpg,1442438,https://www.airbnb.com/users/show/1442438,Gaby,2011-11-25,"Geneva, Geneva, Switzerland","Hi, my name is Gaby! I'm a globetrotter. I speak Italian, French, English and Spanish. I understand a bit Portuguese too. I visited a lot of countries and I have a big experience about travelling and housing. 
I'd be very glad to help you and visit Switzerland. Geneva is such a nice city. Come and discover this lovely country. ",within an hour,100%,96%,t,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,,Versoix,,46.27944,6.1672400000000005,Entire apartment,Entire home/apt,5,0.0,1 bath,1.0,3.0,"[""Pack \u2019n Play/travel crib"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Coffee maker"", ""Bed linens"", ""Oven"", ""Stove"", ""Indoor fireplace"", ""Dedicated workspace"", ""Baby bath"", ""Washer"", ""Luggage dropoff allowed"", ""Iron"", ""High chair"", ""Free street parking"", ""Hot water"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Refrigerator"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Crib"", ""Baby safety gates"", ""Fireplace guards"", ""Wifi"", ""Fire extinguisher"", ""Dryer"", ""Dishwasher"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Cooking basics""]",$60.00,6,360,6,6,1125,1125,6.0,1125.0,,t,14,44,74,349,2020-12-30,102,6,0,2012-03-15,2020-11-08,92.0,9.0,9.0,10.0,10.0,10.0,9.0,,t,1,1,0,0,0.95
315869,https://www.airbnb.com/rooms/315869,20201229152854,2020-12-30,B&B one in Geneva City - Airport,"<b>The space</b><br />BED AND BREAKFAST in Geneva, in a great location close the Geneva International airport, train station, Palexpo, United Nations and international organizations and shopping area ! <br /> <br />The rooms are offered on Bed and Breakfast basis with: <br />- Double furnished room <br />- Private bathroom <br />- TV, free safe WIFI <br />- Separate equipped kitchen, and dining area <br />- 24h tea & coffee <br />- Laundry facilities - free of charge <br /> <br />The place is 10 minutes away by walk from the airport. There is easy public transportation going to city center : 20 minutes to Cornavin train station, less than 30 minutes to city center and the nice old town. <br /> <br />One room is perfect to accomodate up to 2 persons. <br />If you are looking for a place to accomodate 4 persons, <br />check my other listing on Airbnb.com, it is the same kind room in the same B&B offer. <br /> <br />We would be very happy to Welcome in Geneva, and give you a few tips abou",,https://a0.muscache.com/pictures/3588932/aed9a3a7_original.jpg,1621970,https://www.airbnb.com/users/show/1621970,Eric,2012-01-18,"Geneva, Geneva, Switzerland","Hi, we live in Geneva, and would be happy to welcome you in our B&B in Switzerland.",a few days or more,0%,,f,https://a0.muscache.com/im/users/1621970/profile_pic/1326909013/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1621970/profile_pic/1326909013/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,,Meyrin,,46.22488,6.11006,Private room in house,Private room,2,0.0,1 bath,1.0,2.0,"[""Washer"", ""Iron"", ""Cable TV"", ""Dryer"", ""Breakfast"", ""Hair dryer"", ""Hangers"", ""Kitchen"", ""TV"", ""Heating"", ""Wifi""]",$59.00,2,365,2,2,365,365,2.0,365.0,,t,30,60,90,365,2020-12-30,45,0,0,2012-03-09,2019-09-28,90.0,9.0,9.0,10.0,9.0,10.0,9.0,,t,2,0,2,0,0.42
315890,https://www.airbnb.com/rooms/315890,20201229152854,2020-12-30,B&B two in Geneva City - Airport,"<b>The space</b><br />This is a great BED AND BREAKFAST in Geneva, in a great location close the Geneva International airport, train station, Palexpo, United Nations and international organizations and shopping area ! <br /> <br />The rooms are offered on Bed and Breakfast basis with: <br />- Double furnished room <br />- Private bathroom <br />- TV, free safe WIFI <br />- Separate equipped kitchen, and dining area <br />- 24h tea & coffee <br />- Laundry facilities (charges apply) <br /> <br />The place is 10 minutes away by walk from the airport. There is easy public transportation going to city center : 20 minutes to Cornavin train station, less than 30 minutes to city center and the nice old town. <br /> <br />One room is perfect to accomodate up to 2 persons. <br />If you are looking for a place to accomodate 4 persons, <br />check my other listing on Airbnb.com, it is the same kind room in the same B&B. <br /> <br />We would be very happy to Welcome in Geneva ! <br />Don't hesita",,https://a0.muscache.com/pictures/3388246/36ed41ac_original.jpg,1621970,https://www.airbnb.com/users/show/1621970,Eric,2012-01-18,"Geneva, Geneva, Switzerland","Hi, we live in Geneva, and would be happy to welcome you in our B&B in Switzerland.",a few days or more,0%,,f,https://a0.muscache.com/im/users/1621970/profile_pic/1326909013/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1621970/profile_pic/1326909013/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,,Meyrin,,46.22665,6.1083300000000005,Private room in house,Private room,2,0.0,1 bath,1.0,2.0,"[""Long term stays allowed"", ""Washer"", ""Breakfast"", ""Stove"", ""Dishwasher"", ""Microwave"", ""Coffee maker"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Cooking basics"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Cable TV""]",$59.00,2,365,2,2,365,365,2.0,365.0,,t,0,0,0,0,2020-12-30,50,2,0,2015-01-19,2020-11-28,93.0,9.0,9.0,9.0,9.0,9.0,9.0,,f,2,0,2,0,0.69
325986,https://www.airbnb.com/rooms/325986,20201229152854,2020-12-30,"Stylish loft in Pâquis, next to UN","Hello traveler!<br />Pâquis is one of the most vibrant ""neighborhoods"" of Geneva. Here is where you will meet people from all continents, scents from far and near, busy streets and quiet parks right next to the lake. My loft is situated in a quiet back ya<br /><br /><b>The space</b><br />Hello traveler!<br />Pâquis is one of the most vibrant ""neighborhoods"" of Geneva. Here is where you will meet people from all continents, scents from far and near, busy streets and quiet parks right next to the lake. My loft is situated in a quiet back yard giving access to a private garden. You will enjoy the gentle sounds of the fountain while sitting in the cozy garden lounge. The apartment is designed for a single person or a couple. There is a queen-size bed and bathroom with bathtub and shower. The modern well-fitted open kitchen connects to the living area with a dining table. You can use the Internet for free (WIFI), watch TV or listen to music on my stereo system. The loft is 3 minutes walking",,https://a0.muscache.com/pictures/21414234/10b59910_original.jpg,1667362,https://www.airbnb.com/users/show/1667362,Virna,2012-01-29,"Geneva, Geneva, Switzerland","Hi, my name is Virna, I live in Geneva, I speak french, english, italian and spanish, and are looking forward to welcome you here !",within a day,100%,77%,t,https://a0.muscache.com/im/pictures/user/1d0ab881-2826-47b6-945b-38bb252c7b5e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1d0ab881-2826-47b6-945b-38bb252c7b5e.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,,Commune de Genève,,46.21428,6.1461,Entire apartment,Entire home/apt,2,0.0,1.5 baths,1.0,1.0,"[""Washer"", ""Dryer"", ""Hot water"", ""Elevator"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Wifi"", ""Cooking basics""]",$150.00,3,30,3,3,30,30,3.0,30.0,,t,25,55,85,360,2020-12-30,104,4,0,2012-05-13,2020-11-01,97.0,10.0,10.0,10.0,10.0,10.0,9.0,,f,1,1,0,0,0.99
338682,https://www.airbnb.com/rooms/338682,20201229152854,2020-12-30,Top location 1 block from the lake!,"One bedroom apartment located in a pedestrian street one block from the lake. Bus stop around the corner, wi-fi, cleaning lady, washer/dryer and dishwasher... Perfect place to hit the ground running. Your home from home in Geneva. Welcome to Switz!<br /><br /><b>The space</b><br />With the lake practically on your doorstep, next to a bus stop, above a supermarket and next door to a gym, this apartment is in favourite neighbourhood in Geneva ""Eaux Vives"".<br /><br />42"" HDTV; Cable TV with English channels; Wi-Fi; DVD; Dishwasher; Washing machine / Dryer; Modern furniture.<br /><br />Serviced 1br apartment recently renovated. Kitchen with dining table, big TV with cable, Wi-Fi, washer/dryer, rain shower, comfortable double bed in a separate room that enjoys natural light from the living space without having any windows onto the street. A supermarket and gym in the same building.<br /><br />I bought this flat and completely renovated it, so everything is in a very good state. It's in a g","This is the favourite area for expats in Geneva. It's near the lake, has many bars and restaurants and even a few breakfast places nearby. With the lake practically on your doorstep, you're reminded each day what a nice city it is.",https://a0.muscache.com/pictures/14164129/db92c79b_original.jpg,1001280,https://www.airbnb.com/users/show/1001280,Mike,2011-08-21,"Geneva, Geneva, Switzerland","I love airbnb, both for hosting and traveling. I'm an easy going, independent guy who likes to explore the world, and watch a movie with a bottle of good wine.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,"Geneva, Switzerland",Commune de Genève,,46.20682,6.15526,Entire apartment,Entire home/apt,2,0.0,1.5 baths,1.0,0.0,"[""Microwave"", ""Cable TV"", ""Kitchen"", ""TV"", ""Coffee maker"", ""Host greets you"", ""Oven"", ""Stove"", ""Dedicated workspace"", ""Shampoo"", ""Washer"", ""Hot water"", ""Elevator"", ""Refrigerator"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Fire extinguisher"", ""Dryer"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Cooking basics""]",$153.00,3,365,3,3,1125,1125,3.0,1125.0,,t,1,29,59,59,2020-12-30,90,9,1,2012-03-02,2020-12-07,96.0,10.0,10.0,10.0,10.0,10.0,10.0,,t,1,1,0,0,0.84
